順位,都道府県,平均年収
1位,東京都,584万9300円
2位,神奈川県,541万5500円
3位,愛知県,524万400円
4位,大阪府,511万8600円
5位,兵庫県,495万2100円
6位,京都府,492万2200円
7位,三重県,481万2900円
8位,滋賀県,480万3300円
9位,茨城県,478万8800円
10位,埼玉県,474万円
11位,千葉県,468万5300円
12位,広島県,467万3700円
13位,岐阜県,464万3500円
14位,静岡県,464万2400円
15位,栃木県,461万6200円
16位,山口県,457万500円
17位,石川県,456万6700円
18位,福岡県,456万3100円
19位,群馬県,455万700円
20位,長野県,448万6600円
21位,和歌山県,448万1000円
22位,奈良県,447万1800円
23位,香川県,445万8300円
24位,福井県,439万9500円
25位,岡山県,439万5300円
26位,山梨県,438万2600円
27位,宮城県,437万9600円
28位,富山県,435万4700円
29位,北海道,429万6600円
30位,徳島県,425万2700円
31位,新潟県,424万3500円
32位,福島県,422万9000円
33位,愛媛県,417万1600円
34位,大分県,415万2700円
35位,熊本県,410万7100円
36位,長崎県,410万3200円
37位,島根県,407万200円
38位,高知県,406万8200円
39位,鹿児島県,405万9000円
40位,山形県,404万300円
41位,佐賀県,402万3900円
42位,岩手県,390万5000円
43位,鳥取県,380万6000円
44位,秋田県,379万1100円
45位,宮崎県,374万7900円
46位,青森県,374万4500円
47位,沖縄県,367万2100円
